                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.8445,                0.65986,                0.87813,                 4.7645,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.8695,                0.65793,                0.87404,                 4.7666,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.8557,                0.65913,                 0.8762,                 4.7636,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.8521,                0.66851,                0.87596,                  4.759,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.8841,                0.67452,                 0.8851,                 4.7554,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.7979,                0.67332,                0.88269,                 4.7514,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.7785,                0.67284,                0.88606,                 4.7508,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.7891,                0.66707,                0.88389,                 4.7392,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.7874,                0.67236,                0.88558,                 4.7402,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.7651,                 0.6863,                0.88317,                 4.7323,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.7649,                0.68437,                0.88317,                 4.7285,             0.00021213,             0.00021213,             0.00021213
                     73,                  1.753,                0.68005,                0.88582,                 4.7344,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.7538,                0.68486,                0.88966,                  4.731,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.7595,                0.68462,                0.88942,                 4.7231,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.7238,                0.68437,                0.89327,                 4.7199,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.6812,                0.68654,                0.88678,                 4.7204,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.6962,                0.69255,                 0.8899,                  4.715,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.7072,                0.69471,                0.89279,                 4.7191,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.6781,                0.69303,                0.89567,                 4.7126,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.6393,                0.70216,                0.89231,                 4.7094,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.6891,                 0.7024,                0.89327,                 4.7071,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.6449,                0.70817,                0.89543,                 4.7007,             0.00013437,             0.00013437,             0.00013437
                     84,                  1.667,                0.70096,                0.89183,                 4.7044,             0.00012731,             0.00012731,             0.00012731
                     85,                  1.627,                0.70409,                0.89399,                 4.7012,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.6075,                0.70938,                0.89591,                 4.7001,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.6231,                0.70769,                0.89591,                 4.6954,              0.0001061,              0.0001061,              0.0001061
                     88,                  1.603,                0.71226,                0.89928,                 4.6927,             9.9032e-05,             9.9032e-05,             9.9032e-05
